Chinese,Pinyin,Meaning_English,Han_Viet,Nghia_Tieng_Viet,Cach_dung_trong_cau
阿姨,āyí,maternal aunt; step-mother; childcare worker; nursemaid; woman of similar age to one's parents (term of address used by child); CL:個|个[gè],a di,dì/cô,我阿姨来了。Dì tôi đến rồi.
啊,a,modal particle ending sentence; showing affirmation; approval; or consent,a,a/ư,(trợ từ)
唉,āi,interjection or grunt of agreement or recognition (e.g. yes; it's me!); to sigh,ai,(thán từ),唉，真难！Ôi
哎哟,āiyō,hey; ow; ouch; interjection of pain or surprise,ai du,ôi/trời ơi,哎哟;好痛！Trời ơi
挨,āi,to suffer from; to endure; to tide over (a difficult period); to delay,ai,chịu đựng/gần,挨打。Bị đánh.
癌症,áizhèng,cancer,nham chứng,ung thư,肺癌症。Ung thư phổi.
矮,ǎi,low; short (in length),ải,thấp,他个子很矮。Anh ấy thấp.
爱,ài,to love; affection; to be fond of; to like,ái,yêu,我爱你。Wǒ ài nǐ. – Tôi yêu bạn.
爱不释手,àibùshìshǒu,to love sth too much to part with it (idiom); to fondle admiringly,ái bất thích thủ,yêu thích không rời tay,这本书让人爱不释手。Cuốn sách này khiến người ta yêu thích không rời tay.
爱戴,àidài,to love and respect; love and respect,ái đái,kính yêu/yêu mến,受人爱戴。Được mọi người yêu mến.
爱好,àihào,to like; to take pleasure in; keen on; fond of; interest; hobby; appetite for; CL:個|个[gè],ái hiếu,sở thích,我的爱好是看书。Sở thích của tôi là đọc sách.
爱护,àihù,to cherish; to treasure; to take care of; to love and protect,ái hộ,yêu quý/bảo vệ,爱护环境。Bảo vệ môi trường.
暧昧,àimèi,vague; ambiguous; equivocal; dubious,ái muội,mơ hồ/tối nghĩa,态度暧昧。Thái độ mơ hồ.
爱情,àiqíng,romance; love (romantic); CL:個|个[gè],ái tình,tình yêu,他们的爱情很美。Tình yêu của họ rất đẹp.
爱惜,àixī,to cherish; to treasure; to use sparingly,ái tích,yêu quý/tiếc,爱惜时间。Trân trọng thời gian.
爱心,àixīn,compassion; CL:片[piàn],ái tâm,tình thương/lòng yêu thương,献爱心。Trao tình thương.
安静,ānjìng,quiet; peaceful; calm,an tĩnh,yên tĩnh,图书馆很安静。Thư viện rất yên tĩnh.
安居乐业,ānjūlèyè,live in peace and work happily (idiom),an cư lạc nghiệp,sống yên ổn hạnh phúc,人民安居乐业。Nhân dân sống yên ổn hạnh phúc.
安宁,ānníng,peaceful; tranquil; calm; composed,an ninh,yên bình/yên lặng,社会安宁。Xã hội yên bình.
安排,ānpái,to arrange; to plan; to set up,an bài,sắp xếp/bố trí,我安排好了。Tôi đã sắp xếp xong.
安全,ānquán,safe; secure; safety; security,an toàn,an toàn,注意安全。Chú ý an toàn.
安慰,ānwèi,to comfort; to console; CL:個|个[gè],an ủy,an ủi,安慰他。An ủi anh ấy.
安详,ānxiáng,serene,an tường,bình thản/thanh thản,神态安详。Thần thái thanh thản.
安置,ānzhì,find a place for; help settle down; arrange for; to get into bed; placement,an trí,bố trí/sắp xếp,安置工作。Bố trí công việc.
安装,ānzhuāng,install; erect; fix; mount; installation,an trang,lắp đặt,安装软件。Cài phần mềm.
岸,àn,bank; shore; beach; coast; CL:個|个[gè],ngạn,bờ,河岸。Bờ sông.
暗,àn,dark; gloomy; hidden; secret; muddled; obscure; in the dark,ám,tối/tăm tối,天色很暗。Trời rất tối.
案件,ànjiàn,law case; legal case; judicial case; CL:宗[zōng];樁|桩[zhuāng];起[qǐ],án kiện,vụ án,刑事案件。Vụ án hình sự.
案例,ànlì,case (law); CL:個|个[gè],án lệ,án lệ/tiền lệ,典型案例。Án lệ điển hình.
按摩,ànmó,massage,án ma,mát-xa,按摩肩膀。Mát-xa vai.
按时,ànshí,on time; before deadline; on schedule,án thì,đúng giờ,请按时到达。Hãy đến đúng giờ.
暗示,ànshì,to hint; to suggest; suggestion; a hint,ám thị,gợi ý/ám chỉ,暗示他。Gợi ý cho anh ấy.
按照,ànzhào,according to; in accordance with; in the light of; on the basis of,án chiếu,theo/căn cứ,按照规定。Theo quy định.
昂贵,ángguì,expensive; costly,ngang quý,đắt đỏ/đắt tiền,价格昂贵。Giá cả đắt đỏ.
凹凸,āotū,bumpy; uneven; slotted and tabbed joint; crenelation,ao đột,lồi lõm/gập ghềnh,道路凹凸。Con đường gập ghềnh.
熬,áo,(of cooking) to boil for a long time; to endure; to suffer,ngao,nấu nhừ/thức khuya,熬夜。Thức khuya.
奥秘,àomì,profound; deep; a mystery,áo bí,bí mật/huyền bí,宇宙奥秘。Bí ẩn vũ trụ.
八,bā,eight; 8,bát,tám,我有八本书。Tôi có tám quyển sách.
扒,bā,to hold on to; to cling to; to dig up; to rake; to push aside; to climb; to pull out; to strip off,ba,bám/móc,扒住栏杆。Bám vào lan can.
疤,bā,scar,ba,vết seo,留下疤。Để lại vết seo.
巴不得,bābùdé,to be eager for; to long for; to look forward to,ba bất đắc,mong muốn/ước ao,巴不得快点。Mong muốn nhanh chóng.
巴结,bājié,to fawn on; to curry favor with; to make up to,ba kiết,nịnh bợ/xu nịnh,巴结领导。Nịnh bợ lãnh đạo.
拔苗助长,bámiáozhùzhǎng,to spoil things through excessive enthusiasm (idiom),bạt miêu trợ trưởng,vội làm hỏng việc,不要拔苗助长。Đừng vội làm hỏng việc.
把,bǎ,to hold; to contain; to grasp; to take hold of; a handle; particle marking the following noun as a direct object; classifier for objects with handle,bả,(giới từ),把门关上。Đóng cửa lại.
把关,bǎguān,to guard a pass; to check on sth,bả quan,kiểm soát/canh giữ,严格把关。Kiểm soát nghiêm ngặt.
把手,bǎshǒu,handle; grip; knob,bả thủ,tay nắm/tay cầm,门把手。Tay nắm cửa.
把握,bǎwò,to grasp (also fig.); to seize; to hold; assurance; certainty; sure (of the outcome),bả ác,nắm bắt/nắm chắc,把握机会。Nắm bắt cơ hội.
把戏,bǎxì,acrobatics; jugglery; cheap trick; game,bả hí,trò/trò lừa,耍把戏。Làm trò lừa.
爸爸,bàbà,(informal) father; CL:個|个[gè];位[wèi],bả bả,ba/bố,爸爸回家了。Ba đã về nhà.
霸道,bàdào,the Way of the Hegemon; abbr. of 霸王之道; despotic rule; rule by might; evil as opposed to the Way of the King 王道; overbearing; tyranny; (of liquor; medicine etc) strong; potent,bá đạo,bá đạo/hống hách,太霸道。Quá bá đạo.
罢工,bàgōng,a strike; to go on strike,bãi công,đình công,工人罢工。Công nhân đình công.
