Chinese,Pinyin,Meaning_English,Han_Viet,Nghia_Tieng_Viet,Cach_dung_trong_cau
爱,ài,to love,ái,yêu,我爱你。Wǒ ài nǐ. – Tôi yêu bạn.
八,bā,eight,bát,tám,我有八本书。Tôi có tám quyển sách.
爸爸,bà bà,father,bả bả,ba/bố,爸爸回家了。Ba đã về nhà.
杯子,bēi zi,cup,bôi tử,cái cốc/cái ly,这个杯子是我的。Đây là cái ly của tôi.
北京,běi jīng,Beijing,Bắc Kinh,Bắc Kinh,我去北京。Tôi đi Bắc Kinh.
本,běn,classifier for books,bản,quyển/cuốn,我有三本书。Tôi có ba quyển sách.
不客气,bú kè qì,you're welcome,bất khách khí,không có gì,A：谢谢！B：不客气！
不,bù,not,bất,không,我不去。Tôi không đi.
菜,cài,dish,thái,món ăn,我喜欢这个菜。Tôi thích món ăn này.
茶,chá,tea,trà,trà,我喝茶。Tôi uống trà.
吃,chī,to eat,xích,ăn,我吃米饭。Tôi ăn cơm.
出租车,chū zū chē,taxi,xuất tô xa,xe taxi,我们坐出租车去。Chúng tôi đi taxi.
打电话,dǎ diàn huà,to make a phone call,đả điện thoại,gọi điện,我给你打电话。Tôi gọi điện cho bạn.
大,dà,big,đại,to/lớn,这是一只大狗。Đây là con chó lớn.
的,de,of,đích,của,这是我的书。Đây là sách của tôi.
点,diǎn,o’clock/point,điểm,giờ/chấm,现在三点。Bây giờ là 3 giờ.
电脑,diàn nǎo,computer,điện não,máy tính,我有一台电脑。Tôi có một máy tính.
电视,diàn shì,television,điện thị,tivi,我在看电视。Tôi đang xem tivi.
电影,diàn yǐng,movie,điện ảnh,phim,我喜欢中国电影。Tôi thích phim Trung Quốc.
东西,dōng xī,thing,đông tây,đồ vật,我买了一些东西。Tôi mua vài món đồ.
都,dōu,all,đô,đều,我们都是学生。Chúng tôi đều là học sinh.
读,dú,to read,độc,đọc,我读书。Tôi đọc sách.
对不起,duì bù qǐ,sorry,đối bất khởi,xin lỗi,对不起！— Không sao。
多,duō,many,đa,nhiều,这里很多人。Ở đây nhiều người.
