Chinese,Pinyin,Meaning_English,Han_Viet,Nghia_Tieng_Viet,Cach_dung_trong_cau
爱,ài,to love; affection; to be fond of; to like,ái,yêu,我爱你。Wǒ ài nǐ. – Tôi yêu bạn.
八,bā,eight; 8,bát,tám,我有八本书。Tôi có tám quyển sách.
爸爸,bàbà,(informal) father; CL:個|个[gè];位[wèi],bả bả,ba/bố,爸爸回家了。Ba đã về nhà.
吧,ba,(modal particle indicating polite suggestion); ...right?; ...OK?,ba,trợ từ ngữ khí,我们走吧。Wǒmen zǒu ba. – Chúng ta đi nhé.
白,bái,white; snowy; pure; bright; empty; blank; plain; clear; to make clear; in vain; gratuitous; free of charge; reactionary; anti-communist; funeral; to stare coldly; to write wrong character; to state; to explain; vernacular; spoken lines in opera; surname Bai,bạch,màu trắng,白云。Bái yún – mây trắng.
百,bǎi,hundred; numerous; all kinds of; surname Bai,bách,một trăm,一百块。Yì bǎi kuài – 100 tệ.
帮助,bāngzhù,assistance; aid; to help; to assist,giúp trợ,giúp đỡ,谢谢你的帮助。Cảm ơn sự giúp đỡ của bạn.
报纸,bàozhǐ,newspaper; newsprint; CL:份[fèn];期[qī];張|张[zhāng],báo chỉ,tờ báo,我买报纸。Tôi mua báo.
杯子,bēizi,cup; glass; CL:個|个[gè];支[zhī];枝[zhī],bôi tử,cái cốc/cái ly,这个杯子是我的。Đây là cái ly của tôi.
北京,běijīng,Beijing; capital of People's Republic of China; Peking; PRC government,Bắc Kinh,Bắc Kinh,我去北京。Tôi đi Bắc Kinh.
本,běn,roots or stems of plants; origin; source; this; the current; root; foundation; basis; classifier for books; periodicals; files etc; originally,bản,quyển/cuốn,我有三本书。Tôi có ba quyển sách.
比,bǐ,(particle used for comparison and -er than); to compare; to contrast; to gesture (with hands); ratio,tỉ,so với/hơn,他跑得比我快。Anh ấy chạy nhanh hơn tôi.
别,bié,to leave; to depart; to separate; to distinguish; to classify; other; another; do not; must not; to pin,biệt,đừng,别说话。Đừng nói chuyện.
不客气,búkèqì,you're welcome; impolite; rude; blunt; don't mention it,bất khách khí,không có gì,A：谢谢！B：不客气！
不,bù,(negative prefix); not; no,bất,không,我不去。Tôi không đi.
菜,cài,dish (type of food); vegetables; vegetable; cuisine; CL:盤|盘[pán];道[dào],thái,món ăn,我喜欢这个菜。Tôi thích món ăn này.
茶,chá,tea; tea plant; CL:杯[bēi];壺|壶[hú],trà,trà,我喝茶。Tôi uống trà.
长,zhǎng,length; long; forever; always; constantly,trưởng,phát triển/lớn,长头发。Tóc dài.
唱歌,chànggē,to sing a song,xướng ca,hát,我喜欢唱歌。Tôi thích hát.
吃,chī,to eat; to have one's meal; to eradicate; to destroy; to absorb; to suffer; to exhaust,xích,ăn,我吃米饭。Tôi ăn cơm.
出,chū,to go out; to come out; to occur; to produce; to go beyond; to rise; to put forth; to happen; classifier for dramas; plays; operas etc,xuất,ra ngoài,他出去了。Anh ấy ra ngoài rồi.
出租车,chūzūchē,taxi,xuất tô xa,xe taxi,我们坐出租车去。Chúng tôi đi taxi.
穿,chuān,to bore through; pierce; perforate; penetrate; pass through; to dress; to wear; to put on; to thread,xuyên,mặc,我穿新衣服。Tôi mặc đồ mới.
船,chuán,a boat; vessel; ship; CL:條|条[tiáo];艘[sōu];隻|只[zhī],thuyền,thuyền,坐船。Đi thuyền.
次,cì,next in sequence; second; the second (day; time etc); secondary; vice-; sub-; infra-; inferior quality; substandard; order; sequence; hypo- (chemistry); classifier for enumerated events: time,thứ,lần,我去过两次。Tôi đã đi hai lần.
从,cóng,from; via; passing through; through (a gap); past; ever (followed by negative; meaning never); (formerly pr. zòng and related to 縱|纵) to follow; to comply with; to obey; to join; to engage in; adopting some mode of action or attitude; follower; retainer; accessory; accomplice; related by common paternal grandfather or earlier ancestor; surname Cong,tòng,từ,从这儿到学校很近。Từ đây đến trường rất gần.
错,cuò,mistake; error; blunder; fault; cross; uneven; wrong; CL:個|个[gè],thác,sai,你错了。Bạn sai rồi.
打电话,dǎdiànhuà,to make a telephone call,đả điện thoại,gọi điện,我给你打电话。Tôi gọi điện cho bạn.
打篮球,dǎlánqiú,play basketball,đả lam cầu,chơi bóng rổ,我会打篮球。Tôi biết chơi bóng rổ.
大,dà,big; huge; large; major; great; wide; deep; oldest; eldest,đại,to/lớn,这是一只大狗。Đây là con chó lớn.
大家,dàjiā,authority; everyone,đại gia,mọi người,大家好！Xin chào mọi người!
但是,dànshì,but; however,đãn thị,nhưng,我想去，但是没时间。Tôi muốn đi nhưng không có thời gian.
到,dào,to (a place); until (a time); up to; to go; to arrive,đáo,đến,我到了。Tôi đến rồi.
的,de,of; structural particle: used before a noun; linking it to preceding possessive or descriptive attributive,đích,của,这是我的书。Đây là sách của tôi.
得,dé,structural particle: used after a verb (or adjective as main verb); linking it to following phrase indicating effect; degree; possibility etc,đãi,phải,他说得很好。Anh ấy nói rất tốt.
等,děng,class; rank; grade; equal to; same as; to wait for; to await; et cetera; and so on; et al. (and other authors); after; as soon as; once,đẳng,đẳng cấp/chờ,等一下。Chờ một chút.
弟弟,dìdi,younger brother; CL:個|个[gè];位[wèi],đệ đệ,em trai,我有一个弟弟。Tôi có một em trai.
第一,dìyī,first; number one,đệ nhất,thứ nhất,第一名。Hạng nhất.
点,diǎn,drop (of liquid); stain; spot; speck; jot; dot stroke (in Chinese characters); decimal point; point; mark (of degree or level); a place (with certain characteristics); iron bell; o’clock; a little; a bit; some; (point) unit of measurement for type; to touch on briefly; to make clear; to light; to ignite; to kindle; period of time at night (24 minutes) (old); a drip; to dibble; classifier for small indeterminate quantities,điểm,giờ/chấm,现在三点。Bây giờ là 3 giờ.
电脑,diànnǎo,computer; CL:臺|台[tái],điện não,máy tính,我有一台电脑。Tôi có một máy tính.
电视,diànshì,television; TV; CL:臺|台[tái];個|个[gè],điện thị,tivi,我在看电视。Tôi đang xem tivi.
电影,diànyǐng,movie; film; CL:部[bù];片[piàn];幕[mù];場|场[chǎng],điện ảnh,phim,我喜欢中国电影。Tôi thích phim Trung Quốc.
东西,dōngxī,thing; stuff; person; CL:個|个[gè];件[jiàn],đông tây,đồ vật,我买了一些东西。Tôi mua vài món đồ.
懂,dǒng,to understand; to know,đổng,hiểu,我懂了。Tôi hiểu rồi.
都,dōu,all; both; entirely (due to) each; even; already,đô,đều,我们都是学生。Chúng tôi đều là học sinh.
读,dú,to read; to study; reading of word (i.e. pronunciation); similar to 拼音[pīn yīn],độc,đọc,我读书。Tôi đọc sách.
对,duì,couple; pair; to be opposite; to oppose; to face; versus; for; to; correct (answer); to answer; to reply; to direct (towards sth); right,đối,đúng/đôi,一对夫妻。Một cặp vợ chồng.
对不起,duìbùqǐ,unworthy; to let down; I'm sorry; excuse me; pardon me; if you please; sorry? (please repeat),đối bất khởi,xin lỗi,对不起！— Không sao。
多,duō,many; much; a lot of; numerous; multi-,đa,nhiều,这里很多人。Ở đây nhiều người.
多少,duōshǎo,number; amount; somewhat,đa thiểu,bao nhiêu,这个多少钱？Cái này bao nhiêu tiền?
儿子,érzi,son,nhi tử,con trai,他有一个儿子。Anh ấy có một con trai.
二,èr,two; 2; stupid (Beijing dialect),nhị,hai,二月是二月。Tháng hai là tháng 2.
饭馆,fànguǎn,restaurant; CL:家[jiā],phạn quán,nhà hàng/quán ăn,我们去饭馆吃饭。Chúng tôi đi quán ăn.
房间,fángjiān,room; CL:間|间[jiān],phòng gian,phòng,这是我的房间。Đây là phòng của tôi.
非常,fēicháng,unusual; extraordinary; extreme; very; exceptional,phi thường,rất/cực kỳ,我非常喜欢。Tôi rất thích.
飞机,fēijī,airplane; CL: 架[jià],phi cơ,máy bay,我坐飞机去北京。Tôi đi Bắc Kinh bằng máy bay.
分钟,fēnzhōng,minute,phân chung,phút,等我五分钟。Đợi tôi năm phút.
服务员,fúwùyuán,waiter; waitress; attendant; customer service personnel; CL:個|个[gè],phục vụ viên,nhân viên phục vụ,服务员，请结账。Phục vụ; tính tiền.
高,gāo,high; tall; above average; loud; your (honorific); surname Gao,cao,cao,他很高。Anh ấy rất cao.
高兴,gāoxìng,happy; glad; willing (to do sth); in a cheerful mood,cao hứng,vui,认识你很高兴。Rất vui được gặp bạn.
告诉,gàosù,to tell; to inform; to let know,cáo tố,nói/bảo,告诉我吧。Nói cho tôi biết đi.
哥哥,gēgē,older brother; CL:個|个[gè];位[wèi],ca ca,anh trai,我哥哥。Anh trai tôi.
个,gè,individual; this; that; size; classifier for people or objects in general,cá,cái,一个人：một người.
给,gěi,to; for; for the benefit of; to give; to allow; to do sth (for sb); (passive particle),cấp,cho,给你。Cho bạn.
公共汽车,gōnggòngqìchē,bus; CL:輛|辆[liàng];班[bān],công cộng khí xa,xe buýt,我坐公共汽车。Tôi đi xe buýt.
公斤,gōngjīn,kilogram (kg),công cân,kg,一公斤苹果。1 kg táo.
公司,gōngsī,(business) company; company; firm; corporation; incorporated; CL:家[jiā],công ty,công ty,我在公司上班。Tôi làm việc ở công ty.
工作,gōngzuò,job; work; construction; task; CL:個|个[gè];份[fèn];項|项[xiàng],công tác,làm việc,我在学校工作。Tôi làm việc ở trường.
狗,gǒu,dog; CL:隻|只[zhī];條|条[tiáo],cẩu,chó,我有一只狗。Tôi có một con chó.
贵,guì,expensive; noble; your (name); precious,quý,đắt,太贵了！Đắt quá!
过,guò,(experienced action marker); to cross; to go over; to pass (time); to celebrate (a holiday); to live; to get along; excessively; too-; surname Guo,quá,(trợ từ),我去过北京。Tôi đã đến Bắc Kinh.
还,hái,still; still in progress; still more; yet; even more; in addition; fairly; passably (good); as early as; even; also; else,hoàn,trả lại,我还不知道。Tôi vẫn chưa biết.
孩子,háizi,child,hài tử,đứa trẻ,孩子们在玩。Trẻ con đang chơi.
汉语,hànyǔ,Chinese language; CL:門|门[mén],Hán ngữ,tiếng Trung,我学习汉语。Tôi học tiếng Trung.
好,hǎo,good; well; proper; good to; easy to; very; so; (suffix indicating completion or readiness),hảo,tốt,今天天气很好。Hôm nay thời tiết rất tốt.
好吃,hǎochī,tasty; delicious,hảo xích,ngon,这个面条很好吃。Mì này ngon lắm.
号,hào,day of a month; (suffix used after) name of a ship; (ordinal) number,hiệu,số/ngày,今天几号？Hôm nay ngày mấy?
喝,hē,to drink; to shout (a command); My goodness!,hát,uống,我喝水。Tôi uống nước.
和,hé,and; together with; with; sum; union; peace; harmony; surname He; Japanese related; Taiwan pr.  hàn,hòa,và,我和你。Tôi và bạn.
黑,hēi,black; dark; abbr. for Heilongjiang 黑龍江|黑龙江 province in northeast China,hắc,màu đen,黑衣服。Quần áo đen.
很,hěn,(adverb of degree); quite; very; awfully,ngận,rất,我很高兴。Tôi rất vui.
红,hóng,bonus; popular; red; revolutionary,hồng,màu đỏ,红苹果。Táo đỏ.
后面,hòumiàn,rear; back; behind; later; afterwards,hậu diện,phía sau,学校后面有商店。Sau trường có cửa hàng.
欢迎,huānyíng,to welcome; welcome,hoan nghênh,hoan nghênh,欢迎你！Chào mừng bạn!
回,huí,to circle; to go back; to turn around; to answer; to return; to revolve; Hui ethnic group (Chinese Muslims); time; classifier for acts of a play; section or chapter (of a classic book),hồi,về,我回家。Tôi về nhà.
回答,huídá,to reply; to answer; the answer; CL:個|个[gè],hồi đáp,trả lời,请回答我的问题。Hãy trả lời câu hỏi của tôi.
会,huì,can; be possible; be able to; will; be likely to; be sure to; to assemble; to meet; to gather; to see; union; group; association; CL:個|个[gè]; a moment (Taiwan pr. for this sense is huǐ),hội,biết/có thể,我会说中文。Tôi biết nói tiếng Trung.
火车站,huǒchēzhàn,train station,hỏa xa trạm,ga tàu,我们在火车站见。Chúng ta gặp ở ga tàu.
机场,jīchǎng,airport; airfield; CL:家[jiā];處|处[chù],cơ trường,sân bay,我在机场。Tôi ở sân bay.
鸡蛋,jīdàn,(chicken) egg; hen's egg; CL:個|个[gè];打[dá],kê đản,trứng gà,吃鸡蛋。Ăn trứng.
几,jǐ,how much; how many; several; a few,kỷ,mấy,你几岁？Bạn mấy tuổi?
家,jiā,home; family; classifier for families or businesses; refers to the philosophical schools of pre-Han China; noun suffix for specialists in some activity such as musician or revolutionary; corresponds to English -ist; -er; -ary or -ian; surname Jia; CL:個|个[gè],gia,nhà,我家在河内。Nhà tôi ở Hà Nội.
件,jiàn,item; component; classifier for events; things; clothes etc,kiện,chiếc/cái,一件衣服。Một cái áo.
叫,jiào,to shout; to call; to order; to ask; to be called; by (indicates agent in the passive mood),khiếu,gọi là,我叫明。Tôi tên là Minh.
教室,jiàoshì,classroom; CL:間|间[jiān],giáo thất,phòng học,我们在教室学习。Chúng tôi học trong lớp.
姐姐,jiějiě,older sister; CL:個|个[gè],tỉ tỉ,chị gái,我姐姐。Chị tôi.
介绍,jièshào,to present; to introduce; to recommend; to suggest; to let know; to brief,giới thiệu,giới thiệu,我来介绍一下。Để tôi giới thiệu.
