Chinese,Pinyin,Meaning_English,Han_Viet,Nghia_Tieng_Viet,Cach_dung_trong_cau
唉,āi,interjection,ai,(thán từ),唉，真难！Ôi, khó quá!
爱护,ài hù,to cherish,ái hộ,yêu quý/bảo vệ,爱护环境。Bảo vệ môi trường.
爱惜,ài xī,to cherish,ái tích,yêu quý/tiếc,爱惜时间。Trân trọng thời gian.
爱心,ài xīn,compassion,ái tâm,tình thương/lòng yêu thương,献爱心。Trao tình thương.
安慰,ān wèi,to comfort,an ủy,an ủi,安慰他。An ủi anh ấy.
安装,ān zhuāng,to install,an trang,lắp đặt,安装软件。Cài phần mềm.
岸,àn,bank,ngạn,bờ,河岸。Bờ sông.
把握,bǎ wò,to grasp,bả ác,nắm bắt/nắm chắc,把握机会。Nắm bắt cơ hội.
摆,bǎi,to arrange,bài,bày/đặt,摆桌子。Bày bàn.
班主任,bān zhǔ rèn,teacher in charge,ban chủ nhiệm,giáo viên chủ nhiệm,他是班主任。Anh ấy là giáo viên chủ nhiệm.
办理,bàn lǐ,to handle,biện lí,xử lý/làm thủ tục,办理手续。Làm thủ tục.
棒,bàng,a stick,bổng,gậy/giỏi,他很棒。Anh ấy rất giỏi.
傍晚,bàng wǎn,in the evening,bàng vãn,chiều tối/hoàng hôn,傍晚时分。Lúc hoàng hôn.
包裹,bāo guǒ,wrap up,bao quả,gói/bưu kiện,寄包裹。Gửi bưu kiện.
包含,bāo hán,to contain,bao hàm,bao gồm/chứa đựng,包含很多内容。Bao gồm nhiều nội dung.
包子,bāo zi,steamed stuffed bun,bao tử,bánh bao,吃包子。Ăn bánh bao.
薄,báo,thin,bạc,mỏng,纸很薄。Giấy rất mỏng.
宝贝,bǎo bèi,treasured object,bảo bối,báu vật/con yêu,我的宝贝。Con yêu của mẹ.
宝贵,bǎo guì,valuable,bảo quý,quý giá,时间很宝贵。Thời gian rất quý giá.
保持,bǎo chí,to keep,bảo trì,duy trì/giữ,保持联系。Giữ liên lạc.
保存,bǎo cún,to conserve,bảo tồn,bảo quản/lưu trữ,保存文件。Lưu file.
保留,bǎo liú,to retain,bảo lưu,giữ lại/bảo lưu,保留意见。Giữ lại ý kiến.
保险,bǎo xiǎn,insurance,bảo hiểm,bảo hiểm,买保险。Mua bảo hiểm.
报告,bào gào,to inform,báo cáo,báo cáo,工作报告。Báo cáo công việc.
悲观,bēi guān,pessimistic,bi quan,bi quan,不要悲观。Đừng bi quan.
被子,bèi zi,quilt,bị tử,chăn,盖被子。Đắp chăn.
背,bèi,the back,bối,lưng/sau,背后。Phía sau.
背景,bèi jǐng,background,bối cảnh,bối cảnh,文化背景。Bối cảnh văn hóa.
本科,běn kē,undergraduate course,bản khoa,đại học/cử nhân,本科学生。Sinh viên đại học.
本领,běn lǐng,skill,bản lĩnh,bản lĩnh/tài năng,有本领。Có tài năng.
本质,běn zhì,essence,bản chất,bản chất,事物的本质。Bản chất sự vật.
比例,bǐ lì,proportion,tỉ lệ,tỉ lệ,男女比例。Tỉ lệ nam nữ.
比如,bǐ rú,for example,tỉ như,ví dụ,比如说。Ví dụ như.
彼此,bǐ cǐ,each other,bỉ thử,lẫn nhau,彼此帮助。Giúp đỡ lẫn nhau.
必然,bì rán,inevitable,tất nhiên,tất yếu/tất nhiên,必然结果。Kết quả tất yếu.
必需,bì xū,to need,tất tu,cần thiết,生活必需品。Nhu yếu phẩm.
必要,bì yào,necessary,tất yếu,cần thiết/cần,有必要。Có cần thiết.
毕竟,bì jìng,after all,tất cánh,rốt cuộc/sau cùng,毕竟他还小。Rốt cuộc anh ấy còn nhỏ.
避免,bì miǎn,to avert,tị miễn,tránh/tránh khỏi,避免错误。Tránh sai lầm.
鞭炮,biān pào,firecrackers,tiên bào,pháo/pháo hoa,放鞭炮。Đốt pháo.
编辑,biān jí,to edit,biên tập,biên tập,编辑文章。Biên tập bài viết.
便,biàn,ordinary,tiện,tiện/thì,方便。Thuận tiện.
辩论,biàn lùn,debate,biện luận,tranh luận/biện luận,辩论比赛。Cuộc tranh luận.
标点,biāo diǎn,punctuation,tiêu điểm,dấu câu,标点符号。Dấu câu.
标志,biāo zhì,sign,tiêu chí,biểu tượng/dấu hiệu,标志性建筑。Công trình biểu tượng.
